company,data,updated_at
"passerby interactive media co., ltd.","{""ICPIndustry"": ""Media"", ""ICPEmployeesRange"": ""10-50"", ""ICPRevenueUSD"": ""2M"", ""ICPFundingType"": ""N/A"", ""ICPFundingStage"": ""N/A"", ""ICPFUndingAmount"": ""N/A"", ""ICPParentCompany"": ""Passerby Interactive Media Co., Ltd."", ""ICPLinkedInURL"": ""https://www.linkedin.com/company/passerby-interactive-media-co-ltd"", ""ICPMarketingSignal"": ""Active social media presence"", ""ICPFitStatus"": ""Not Fit"", ""ICPFitmentTest"": ""ICP non Fitment"", ""company"": ""passerby interactive media co., ltd."", ""email"": """"}",2026-05-11T13:05:41.349612
pt jiexpo,"{""ICPIndustry"": ""Event Management"", ""ICPEmployeesRange"": ""10-50"", ""ICPRevenueUSD"": ""500K"", ""ICPFundingType"": ""N/A"", ""ICPFundingStage"": ""N/A"", ""ICPFUndingAmount"": ""N/A"", ""ICPParentCompany"": ""N/A"", ""ICPLinkedInURL"": ""https://www.linkedin.com/company/pt-jiexpo"", ""ICPMarketingSignal"": ""Trade Show Participation"", ""ICPFitStatus"": ""Not Fit"", ""ICPFitmentTest"": ""ICP non Fitment"", ""company"": ""pt jiexpo"", ""email"": """"}",2026-05-11T13:05:43.290632
rubber king tyres,"{""ICPIndustry"": ""Manufacturing"", ""ICPEmployeesRange"": ""10-50"", ""ICPRevenueUSD"": ""2M"", ""ICPFundingType"": ""N/A"", ""ICPFundingStage"": ""N/A"", ""ICPFUndingAmount"": ""N/A"", ""ICPParentCompany"": ""Rubber King Tyres Inc."", ""ICPLinkedInURL"": ""https://www.linkedin.com/company/rubber-king-tyres"", ""ICPMarketingSignal"": ""Industry trade shows, Tyre manufacturing expos"", ""ICPFitStatus"": ""Good Fit"", ""ICPFitmentTest"": ""ICP Fitment"", ""company"": ""rubber king tyres"", ""email"": """"}",2026-05-11T13:05:45.188145
pt global indojaya orion,"{""ICPIndustry"": ""Manufacturing"", ""ICPEmployeesRange"": ""50-200"", ""ICPRevenueUSD"": ""10M"", ""ICPFundingType"": ""N/A"", ""ICPFundingStage"": ""N/A"", ""ICPFUndingAmount"": ""N/A"", ""ICPParentCompany"": ""PT Global Indojaya"", ""ICPLinkedInURL"": ""https://www.linkedin.com/company/pt-global-indojaya-orion"", ""ICPMarketingSignal"": ""Industry trade shows and manufacturing certifications"", ""ICPFitStatus"": ""Good Fit"", ""ICPFitmentTest"": ""ICP Fitment"", ""company"": ""pt global indojaya orion"", ""email"": """"}",2026-05-11T13:05:47.046541
outin inc.,"{""ICPIndustry"": ""Media"", ""ICPEmployeesRange"": ""10-50"", ""ICPRevenueUSD"": ""2M"", ""ICPFundingType"": ""N/A"", ""ICPFundingStage"": ""N/A"", ""ICPFUndingAmount"": ""N/A"", ""ICPParentCompany"": ""outin inc."", ""ICPLinkedInURL"": ""https://www.linkedin.com/company/outin-inc"", ""ICPMarketingSignal"": ""Active social media presence"", ""ICPFitStatus"": ""Not Fit"", ""ICPFitmentTest"": ""ICP non Fitment"", ""company"": ""outin inc."", ""email"": """"}",2026-05-11T13:05:48.863839
finnect,"{""ICPIndustry"": ""FinTech"", ""ICPEmployeesRange"": ""10-50"", ""ICPRevenueUSD"": ""2M"", ""ICPFundingType"": ""Venture Capital"", ""ICPFundingStage"": ""Seed"", ""ICPFUndingAmount"": ""500K"", ""ICPParentCompany"": ""Finnect Inc."", ""ICPLinkedInURL"": ""https://www.linkedin.com/company/finnect"", ""ICPMarketingSignal"": ""Fintech Startup"", ""ICPFitStatus"": ""Good Fit"", ""ICPFitmentTest"": ""ICP Fitment"", ""company"": ""finnect"", ""email"": """"}",2026-05-11T13:05:51.056278
schott india pvt ltd,"{""ICPIndustry"": ""Manufacturing"", ""ICPEmployeesRange"": ""100-500"", ""ICPRevenueUSD"": ""10M"", ""ICPFundingType"": ""N/A"", ""ICPFundingStage"": ""N/A"", ""ICPFUndingAmount"": ""N/A"", ""ICPParentCompany"": ""Schott AG"", ""ICPLinkedInURL"": ""https://www.linkedin.com/company/schott-india-pvt-ltd"", ""ICPMarketingSignal"": ""Industry trade shows, manufacturing equipment suppliers"", ""ICPFitStatus"": ""Good Fit"", ""ICPFitmentTest"": ""ICP Fitment"", ""company"": ""schott india pvt ltd"", ""email"": """"}",2026-05-11T13:05:53.173433
one path wealth,"{""ICPIndustry"": ""Financial Services"", ""ICPEmployeesRange"": ""10-50"", ""ICPRevenueUSD"": ""2M"", ""ICPFundingType"": ""N/A"", ""ICPFundingStage"": ""N/A"", ""ICPFUndingAmount"": ""N/A"", ""ICPParentCompany"": ""OnePath Wealth"", ""ICPLinkedInURL"": ""https://www.linkedin.com/company/onepath-wealth"", ""ICPMarketingSignal"": ""Online financial advisory"", ""ICPFitStatus"": ""Good Fit"", ""ICPFitmentTest"": ""ICP Fitment"", ""company"": ""one path wealth"", ""email"": """"}",2026-05-11T13:05:55.602755
kotak securities,"{""ICPIndustry"": ""Financial Services"", ""ICPEmployeesRange"": ""1001-5000"", ""ICPRevenueUSD"": ""500M"", ""ICPFundingType"": ""N/A"", ""ICPFundingStage"": ""N/A"", ""ICPFUndingAmount"": ""N/A"", ""ICPParentCompany"": ""Kotak Mahindra Bank Limited"", ""ICPLinkedInURL"": ""https://www.linkedin.com/company/kotak-securities/"", ""ICPMarketingSignal"": ""Online trading platform"", ""ICPFitStatus"": ""Good Fit"", ""ICPFitmentTest"": ""ICP Fitment"", ""company"": ""kotak securities"", ""email"": """"}",2026-05-11T13:05:57.506372
black bay,"{""ICPIndustry"": ""Manufacturing"", ""ICPEmployeesRange"": ""51-200"", ""ICPRevenueUSD"": ""10M"", ""ICPFundingType"": ""N/A"", ""ICPFundingStage"": ""N/A"", ""ICPFUndingAmount"": ""N/A"", ""ICPParentCompany"": ""Black Bay"", ""ICPLinkedInURL"": ""https://www.linkedin.com/company/black-bay"", ""ICPMarketingSignal"": ""Trade show presence"", ""ICPFitStatus"": ""Good Fit"", ""ICPFitmentTest"": ""ICP Fitment"", ""company"": ""black bay"", ""email"": """"}",2026-05-11T13:05:59.339553
geemee,"{""ICPIndustry"": ""Technology"", ""ICPEmployeesRange"": ""10-50"", ""ICPRevenueUSD"": ""2M"", ""ICPFundingType"": ""N/A"", ""ICPFundingStage"": ""N/A"", ""ICPFUndingAmount"": ""N/A"", ""ICPParentCompany"": ""Geemee Inc."", ""ICPLinkedInURL"": ""https://www.linkedin.com/company/geemee"", ""ICPMarketingSignal"": ""Active social media presence"", ""ICPFitStatus"": ""Good Fit"", ""ICPFitmentTest"": ""ICP Fitment"", ""company"": ""geemee"", ""email"": """"}",2026-05-11T13:06:01.603529
ubon,"{""ICPIndustry"": ""Technology"", ""ICPEmployeesRange"": ""10-50"", ""ICPRevenueUSD"": ""2M"", ""ICPFundingType"": ""N/A"", ""ICPFundingStage"": ""N/A"", ""ICPFUndingAmount"": ""N/A"", ""ICPParentCompany"": ""N/A"", ""ICPLinkedInURL"": ""https://www.linkedin.com/company/ubon"", ""ICPMarketingSignal"": ""Tech Startup"", ""ICPFitStatus"": ""Good Fit"", ""ICPFitmentTest"": ""ICP Fitment"", ""company"": ""ubon"", ""email"": """"}",2026-05-11T13:06:03.651908
sairam refrigeration,"{""ICPIndustry"": ""Manufacturing"", ""ICPEmployeesRange"": ""50-200"", ""ICPRevenueUSD"": ""2M"", ""ICPFundingType"": ""N/A"", ""ICPFundingStage"": ""N/A"", ""ICPFUndingAmount"": ""N/A"", ""ICPParentCompany"": ""Sairam Refrigeration"", ""ICPLinkedInURL"": ""https://www.linkedin.com/company/sairam-refrigeration"", ""ICPMarketingSignal"": ""Trade shows, Industry publications"", ""ICPFitStatus"": ""Good Fit"", ""ICPFitmentTest"": ""ICP Fitment"", ""company"": ""sairam refrigeration"", ""email"": """"}",2026-05-11T13:06:05.904430
prepquest test series pvt ltd,"{""ICPIndustry"": ""Education"", ""ICPEmployeesRange"": ""10-50"", ""ICPRevenueUSD"": ""500K"", ""ICPFundingType"": ""N/A"", ""ICPFundingStage"": ""N/A"", ""ICPFUndingAmount"": ""N/A"", ""ICPParentCompany"": ""PrepQuest Pvt Ltd"", ""ICPLinkedInURL"": ""https://www.linkedin.com/company/prepquest-test-series-pvt-ltd"", ""ICPMarketingSignal"": ""Online test prep platform"", ""ICPFitStatus"": ""Not Fit"", ""ICPFitmentTest"": ""ICP non Fitment"", ""company"": ""prepquest test series pvt ltd"", ""email"": """"}",2026-05-11T13:06:08.053289
xyz,"{""ICPIndustry"": ""Technology"", ""ICPEmployeesRange"": ""51-200"", ""ICPRevenueUSD"": ""5M"", ""ICPFundingType"": ""Venture Capital"", ""ICPFundingStage"": ""Series B"", ""ICPFUndingAmount"": ""20M"", ""ICPParentCompany"": ""XYZ Corporation"", ""ICPLinkedInURL"": ""https://www.linkedin.com/company/xyz"", ""ICPMarketingSignal"": ""Tech Conference Speaker"", ""ICPFitStatus"": ""Good Fit"", ""ICPFitmentTest"": ""ICP Fitment"", ""company"": ""xyz"", ""email"": """"}",2026-05-11T13:06:09.813127
hapipola,"{""ICPIndustry"": ""Media"", ""ICPEmployeesRange"": ""10-50"", ""ICPRevenueUSD"": ""500K"", ""ICPFundingType"": ""N/A"", ""ICPFundingStage"": ""N/A"", ""ICPFUndingAmount"": ""N/A"", ""ICPParentCompany"": ""hapipola"", ""ICPLinkedInURL"": ""https://www.linkedin.com/company/hapipola"", ""ICPMarketingSignal"": ""Active social media presence"", ""ICPFitStatus"": ""Not Fit"", ""ICPFitmentTest"": ""ICP non Fitment"", ""company"": ""hapipola"", ""email"": """"}",2026-05-11T13:06:11.863049
global gate,"{""ICPIndustry"": ""Technology"", ""ICPEmployeesRange"": ""10-50"", ""ICPRevenueUSD"": ""2M"", ""ICPFundingType"": ""N/A"", ""ICPFundingStage"": ""N/A"", ""ICPFUndingAmount"": ""N/A"", ""ICPParentCompany"": ""Global Gate Inc."", ""ICPLinkedInURL"": ""https://www.linkedin.com/company/global-gate"", ""ICPMarketingSignal"": ""Tech Conference Speaker"", ""ICPFitStatus"": ""Good Fit"", ""ICPFitmentTest"": ""ICP Fitment"", ""company"": ""global gate"", ""email"": """"}",2026-05-11T13:06:13.569393
extramarks education private limited,"{""ICPIndustry"": ""Education"", ""ICPEmployeesRange"": ""100-500"", ""ICPRevenueUSD"": ""10M"", ""ICPFundingType"": ""N/A"", ""ICPFundingStage"": ""N/A"", ""ICPFUndingAmount"": ""N/A"", ""ICPParentCompany"": ""Extramarks Education Private Limited"", ""ICPLinkedInURL"": ""https://www.linkedin.com/company/extramarks-education-private-limited"", ""ICPMarketingSignal"": ""Online Learning Platform"", ""ICPFitStatus"": ""Good Fit"", ""ICPFitmentTest"": ""ICP Fitment"", ""company"": ""extramarks education private limited"", ""email"": """"}",2026-05-11T13:06:15.052010
tvbs,"{""ICPIndustry"": ""Media"", ""ICPEmployeesRange"": ""10-50"", ""ICPRevenueUSD"": ""500K"", ""ICPFundingType"": ""N/A"", ""ICPFundingStage"": ""N/A"", ""ICPFUndingAmount"": ""N/A"", ""ICPParentCompany"": ""TVBS Media Inc."", ""ICPLinkedInURL"": ""https://www.linkedin.com/company/tvbs"", ""ICPMarketingSignal"": ""TVBS TV channel"", ""ICPFitStatus"": ""Not Fit"", ""ICPFitmentTest"": ""ICP non Fitment"", ""company"": ""tvbs"", ""email"": """"}",2026-05-11T13:06:17.167483
medical tourism,"{""ICPIndustry"": ""Healthcare"", ""ICPEmployeesRange"": ""10-50"", ""ICPRevenueUSD"": ""2M"", ""ICPFundingType"": ""N/A"", ""ICPFundingStage"": ""N/A"", ""ICPFUndingAmount"": ""N/A"", ""ICPParentCompany"": ""N/A"", ""ICPLinkedInURL"": ""https://www.linkedin.com/company/medical-tourism"", ""ICPMarketingSignal"": ""International patient inquiries"", ""ICPFitStatus"": ""Good Fit"", ""ICPFitmentTest"": ""ICP Fitment"", ""company"": ""medical tourism"", ""email"": """"}",2026-05-11T13:06:19.011706
wah! management,"{""ICPIndustry"": ""Marketing"", ""ICPEmployeesRange"": ""10-50"", ""ICPRevenueUSD"": ""2M"", ""ICPFundingType"": ""N/A"", ""ICPFundingStage"": ""N/A"", ""ICPFUndingAmount"": ""N/A"", ""ICPParentCompany"": ""wah! management"", ""ICPLinkedInURL"": ""https://www.linkedin.com/company/wah-management"", ""ICPMarketingSignal"": ""Active social media presence"", ""ICPFitStatus"": ""Good Fit"", ""ICPFitmentTest"": ""ICP Fitment"", ""company"": ""wah! management"", ""email"": """"}",2026-05-11T13:06:43.075906
virtual employee,"{""ICPIndustry"": ""Staffing and Recruitment"", ""ICPEmployeesRange"": ""10-50"", ""ICPRevenueUSD"": ""2M"", ""ICPFundingType"": ""N/A"", ""ICPFundingStage"": ""N/A"", ""ICPFUndingAmount"": ""N/A"", ""ICPParentCompany"": ""N/A"", ""ICPLinkedInURL"": ""https://www.linkedin.com/company/virtual-employee"", ""ICPMarketingSignal"": ""Job portal partnership"", ""ICPFitStatus"": ""Good Fit"", ""ICPFitmentTest"": ""ICP Fitment"", ""company"": ""virtual employee"", ""email"": """"}",2026-05-11T13:06:45.066469
baopu construction,"{""ICPIndustry"": ""Construction"", ""ICPEmployeesRange"": ""50-200"", ""ICPRevenueUSD"": ""10M"", ""ICPFundingType"": ""N/A"", ""ICPFundingStage"": ""N/A"", ""ICPFUndingAmount"": ""N/A"", ""ICPParentCompany"": ""N/A"", ""ICPLinkedInURL"": ""https://www.linkedin.com/company/baopu-construction"", ""ICPMarketingSignal"": ""Regional construction projects"", ""ICPFitStatus"": ""Good Fit"", ""ICPFitmentTest"": ""ICP Fitment"", ""company"": ""baopu construction"", ""email"": """"}",2026-05-11T13:06:47.034700
topbet tech corp,"{""ICPIndustry"": ""Technology"", ""ICPEmployeesRange"": ""51-200"", ""ICPRevenueUSD"": ""5M"", ""ICPFundingType"": ""N/A"", ""ICPFundingStage"": ""N/A"", ""ICPFUndingAmount"": ""N/A"", ""ICPParentCompany"": ""TopBet Tech Corp"", ""ICPLinkedInURL"": ""https://www.linkedin.com/company/topbet-tech-corp"", ""ICPMarketingSignal"": ""Online gaming platform"", ""ICPFitStatus"": ""Good Fit"", ""ICPFitmentTest"": ""ICP Fitment"", ""company"": ""topbet tech corp"", ""email"": """"}",2026-05-11T13:06:48.808722
dreamfolks,"{""ICPIndustry"": ""Hospitality"", ""ICPEmployeesRange"": ""51-200"", ""ICPRevenueUSD"": ""10M"", ""ICPFundingType"": ""Venture Capital"", ""ICPFundingStage"": ""Series B"", ""ICPFUndingAmount"": ""20M"", ""ICPParentCompany"": ""Dreamfolks Services Pvt Ltd"", ""ICPLinkedInURL"": ""https://www.linkedin.com/company/dreamfolks"", ""ICPMarketingSignal"": ""Travel & Hospitality Conferences"", ""ICPFitStatus"": ""Good Fit"", ""ICPFitmentTest"": ""ICP Fitment"", ""company"": ""dreamfolks"", ""email"": """"}",2026-05-11T13:06:50.857829
lovenspire,"{""ICPIndustry"": ""Real Estate"", ""ICPEmployeesRange"": ""10-50"", ""ICPRevenueUSD"": ""2M"", ""ICPFundingType"": ""N/A"", ""ICPFundingStage"": ""N/A"", ""ICPFUndingAmount"": ""N/A"", ""ICPParentCompany"": ""Lovenspire Inc."", ""ICPLinkedInURL"": ""https://www.linkedin.com/company/lovenspire"", ""ICPMarketingSignal"": ""Real estate development projects"", ""ICPFitStatus"": ""Good Fit"", ""ICPFitmentTest"": ""ICP Fitment"", ""company"": ""lovenspire"", ""email"": """"}",2026-05-11T13:06:52.694880
pt.perusahaan pelayaran rusianto bersaudara,"{""ICPIndustry"": ""Logistics"", ""ICPEmployeesRange"": ""10-50"", ""ICPRevenueUSD"": ""2M"", ""ICPFundingType"": ""N/A"", ""ICPFundingStage"": ""N/A"", ""ICPFUndingAmount"": ""N/A"", ""ICPParentCompany"": ""Rusianto Bersaudara Group"", ""ICPLinkedInURL"": ""https://www.linkedin.com/company/rusianto-bersaudara"", ""ICPMarketingSignal"": ""Regional shipping services"", ""ICPFitStatus"": ""Good Fit"", ""ICPFitmentTest"": ""ICP Fitment"", ""company"": ""pt.perusahaan pelayaran rusianto bersaudara"", ""email"": """"}",2026-05-11T13:06:54.838379
aml network hk(dba qpid network),"{""ICPIndustry"": ""Technology"", ""ICPEmployeesRange"": ""10-50"", ""ICPRevenueUSD"": ""2M"", ""ICPFundingType"": ""N/A"", ""ICPFundingStage"": ""N/A"", ""ICPFUndingAmount"": ""N/A"", ""ICPParentCompany"": ""AML Network HK"", ""ICPLinkedInURL"": ""https://www.linkedin.com/company/aml-network-hk"", ""ICPMarketingSignal"": ""Active online presence, tech industry engagement"", ""ICPFitStatus"": ""Good Fit"", ""ICPFitmentTest"": ""ICP Fitment"", ""company"": ""aml network hk(dba qpid network)"", ""email"": """"}",2026-05-11T13:06:56.770083
the dentist - orthodontic care and implant center,"{""ICPIndustry"": ""Healthcare"", ""ICPEmployeesRange"": ""10-50"", ""ICPRevenueUSD"": ""2M"", ""ICPFundingType"": ""N/A"", ""ICPFundingStage"": ""N/A"", ""ICPFUndingAmount"": ""N/A"", ""ICPParentCompany"": ""Independent"", ""ICPLinkedInURL"": ""https://www.linkedin.com/company/the-dentist-orthodontic-care-and-implant-center"", ""ICPMarketingSignal"": ""Local dental clinic"", ""ICPFitStatus"": ""Not Fit"", ""ICPFitmentTest"": ""ICP non Fitment"", ""company"": ""the dentist - orthodontic care and implant center"", ""email"": """"}",2026-05-11T13:06:58.805723
henkel indonesia,"{""ICPIndustry"": ""Consumer Goods"", ""ICPEmployeesRange"": ""10,000-50,000"", ""ICPRevenueUSD"": ""4.5B"", ""ICPFundingType"": ""N/A"", ""ICPFundingStage"": ""N/A"", ""ICPFUndingAmount"": ""N/A"", ""ICPParentCompany"": ""Henkel AG & Co. KGaA"", ""ICPLinkedInURL"": ""https://www.linkedin.com/company/henkel/"", ""ICPMarketingSignal"": ""Regional manufacturing presence"", ""ICPFitStatus"": ""Good Fit"", ""ICPFitmentTest"": ""ICP Fitment"", ""company"": ""henkel indonesia"", ""email"": """"}",2026-05-11T13:07:00.597140
austix hospitality,"{""ICPIndustry"": ""Hospitality"", ""ICPEmployeesRange"": ""50-200"", ""ICPRevenueUSD"": ""5M"", ""ICPFundingType"": ""N/A"", ""ICPFundingStage"": ""N/A"", ""ICPFUndingAmount"": ""N/A"", ""ICPParentCompany"": ""Austix Hospitality Group"", ""ICPLinkedInURL"": ""https://www.linkedin.com/company/austix-hospitality"", ""ICPMarketingSignal"": ""Online booking platform"", ""ICPFitStatus"": ""Good Fit"", ""ICPFitmentTest"": ""ICP Fitment"", ""company"": ""austix hospitality"", ""email"": """"}",2026-05-11T13:07:02.837005
celenor,"{""ICPIndustry"": ""Telecommunications"", ""ICPEmployeesRange"": ""10,000-50,000"", ""ICPRevenueUSD"": ""10B"", ""ICPFundingType"": ""N/A"", ""ICPFundingStage"": ""N/A"", ""ICPFUndingAmount"": ""N/A"", ""ICPParentCompany"": ""Telenor Group"", ""ICPLinkedInURL"": ""https://www.linkedin.com/company/celenor/"", ""ICPMarketingSignal"": ""Global telecom provider"", ""ICPFitStatus"": ""Good Fit"", ""ICPFitmentTest"": ""ICP Fitment"", ""company"": ""celenor"", ""email"": """"}",2026-05-11T13:07:04.784689
roamflux,"{""ICPIndustry"": ""Technology"", ""ICPEmployeesRange"": ""10-50"", ""ICPRevenueUSD"": ""2M"", ""ICPFundingType"": ""N/A"", ""ICPFundingStage"": ""N/A"", ""ICPFUndingAmount"": ""N/A"", ""ICPParentCompany"": ""roamflux"", ""ICPLinkedInURL"": ""https://www.linkedin.com/company/roamflux"", ""ICPMarketingSignal"": ""Tech Startup"", ""ICPFitStatus"": ""Good Fit"", ""ICPFitmentTest"": ""ICP Fitment"", ""company"": ""roamflux"", ""email"": """"}",2026-05-11T13:07:06.702851
business coaching india llp,"{""ICPIndustry"": ""Consulting"", ""ICPEmployeesRange"": ""10-50"", ""ICPRevenueUSD"": ""500K"", ""ICPFundingType"": ""N/A"", ""ICPFundingStage"": ""N/A"", ""ICPFUndingAmount"": ""N/A"", ""ICPParentCompany"": ""N/A"", ""ICPLinkedInURL"": ""https://www.linkedin.com/company/business-coaching-india-llp"", ""ICPMarketingSignal"": ""Business coaching India LLP website"", ""ICPFitStatus"": ""Not Fit"", ""ICPFitmentTest"": ""ICP non Fitment"", ""company"": ""business coaching india llp"", ""email"": """"}",2026-05-11T13:07:08.846827
